0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:32 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:32 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:32 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:12:08 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:12:08 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:15:34 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:15:34 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:15:35 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:15:35 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:15:35 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:15:35 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:15:36 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:15:36 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
